22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Nossa missão agora é avançar na compatibilização entre preservação do meio ambiente e da biodiversidade, com o necessário desenvolvimento econômico, lembrando que são interdependentes e indissociáveis.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Os setores que nos criticam têm, na verdade, muito o que aprender conosco.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Queremos governar pelo exemplo e queremos que o mundo restabeleça a confiança que sempre teve em nós.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Vamos diminuir a carga tributária, simplificar as normas, facilitando a vida de quem deseja produzir e empreender, investir e gerar empregos.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Trabalharemos pela estabilidade macroeconômica, respeitando os contratos, privatizando e equilibrando as contas públicas.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | O Brasil ainda é uma economia relativamente fechada ao comércio internacional e mudar essa condição é um dos maiores compromissos deste governo.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Tenham certeza de que, até o final do meu mandato, nossa equipe econômica, liderada pelo ministro Paulo Guedes, nos colocará no ranking dos 50 melhores países para se fazer negócios.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Nossas relações internacionais serão dinamizadas pelo ministro Ernesto Araújo, implementando uma política na qual o viés ideológico deixará de existir.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Para isso, buscaremos integrar o Brasil ao mundo, por meio da incorporação das melhores práticas internacionais, como aquelas que são adotadas e promovidas pela OCDE.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Buscaremos integrar o Brasil ao mundo também por meio de uma defesa ativa da reforma da OMC, com a finalidade de eliminar práticas desleais de comércio e garantir segurança jurídica das trocas comerciais internacionais.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Vamos resgatar nossos valores e abrir nossa economia.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Vamos defender a família, os verdadeiros direitos humanos; proteger o direito à vida e à propriedade privada e promover uma educação que prepare nossa juventude para os desafios da quarta revolução industrial, buscando, pelo conhecimento, reduzir a pobreza e a miséria.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Estamos aqui porque queremos, além de aprofundar nossos laços de amizade, aprofundar nossas relações comerciais.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Temos a maior biodiversidade do mundo e nossas riquezas minerais são abundantes. Queremos parceiros com tecnologia para que esse casamento se traduza em progresso e desenvolvimento para todos.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Nossas ações, tenham certeza, os atrairão para grandes negócios, não só para o bem do Brasil, mas também para o bem de todo o mundo.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Estamos de braços abertos. Quero mais do que um Brasil grande. Quero um mundo de paz, liberdade e democracia.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Tendo como lema “Deus acima de tudo”, acredito que nossas relações trarão infindáveis progressos para todos.
